date,country,event
2024-10-07,al,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D"
2024-10-07,de,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
2024-10-07,sa,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
2024-10-10,bs,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
2024-10-12,am,"Élection présidentielle : débat télévisé entre les colistiers"
2024-10-13,br,"Élection présidentielle : débat télévisé entre les colistiers"
2024-10-14,af,"Élection présidentielle : débat télévisé entre les colistiers"
2024-10-15,dz,"Élection présidentielle : débat télévisé entre les colistiers"
2024-10-16,ao,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
2024-10-17,za,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
2024-10-18,bz,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
2024-10-18,ar,"Élection présidentielle : débat télévisé entre les colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
2024-10-10,dz,"Colistiers, le démocrate Tim Walz et le républicain J.D. Vance, à New York."
